exceedance_probability,return_period_years,insured_loss_threshold
0.0001,10000.0,16047390553.104534
0.0002,5000.0,10799630575.509056
0.0003,3333.3333333333335,9685156515.897327
0.0004,2500.0,9609545625.521969
0.0005,2000.0,9438878511.904621
0.0006,1666.6666666666667,9435773724.53325
0.0007,1428.5714285714287,9433835114.867155
0.0008,1250.0,9398058612.6952
0.0009,1111.111111111111,9371849657.10553
0.001,1000.0,9327710869.853024
0.0011,909.090909090909,9218495385.861427
0.0012,833.3333333333334,9215102421.070295
0.0013,769.2307692307693,8919454140.815657
0.0014,714.2857142857143,8874299721.738962
0.0015,666.6666666666666,8689150299.470669
0.0016,625.0,8415563871.296064
0.0017,588.2352941176471,8306602954.308212
0.0018,555.5555555555555,8094133754.938777
0.0019,526.3157894736842,8047707392.405809
0.002,500.0,8041468011.882667
0.0021,476.1904761904762,7991274068.816878
0.0022,454.5454545454545,7985637463.626024
0.0023,434.7826086956522,7921273282.233807
0.0024,416.6666666666667,7838781542.988232
0.0025,400.0,7795464423.982532
0.0026,384.61538461538464,7438899704.542308
0.0027,370.3703703703703,7420734146.622241
0.0028,357.14285714285717,6999259264.886544
0.0029,344.82758620689657,6858808070.646083
0.003,333.3333333333333,6767945582.533317
0.0031,322.5806451612903,6687008531.09258
0.0032,312.5,6561851203.18705
0.0033,303.03030303030306,6543791323.259741
0.0034,294.11764705882354,6493826687.902182
0.0035,285.7142857142857,6427718663.485478
0.0036,277.77777777777777,6111555256.572159
0.0037,270.27027027027026,6080659401.436724
0.0038,263.1578947368421,6071468100.744818
0.0039,256.4102564102564,5974919485.937915
0.004,250.0,5830660077.5036955
0.0041,243.90243902439022,5596278087.26147
0.0042,238.0952380952381,5502242080.798867
0.0043,232.5581395348837,5359756531.179028
0.0044,227.27272727272725,5214072847.206601
0.0045,222.22222222222223,5075280198.412547
0.0046,217.3913043478261,5036171056.482912
0.0047,212.7659574468085,5026928479.986079
0.0048,208.33333333333334,4971676311.069872
0.0049,204.08163265306123,4878428955.350217
0.005,200.0,4832599631.550355
0.0051,196.078431372549,4824856867.565162
0.0052,192.30769230769232,4728835154.250239
0.0053,188.67924528301887,4704361258.616397
0.0054,185.18518518518516,4678239713.838946
0.0055,181.81818181818184,4639867920.458344
0.0056,178.57142857142858,4597242656.358981
0.0057,175.43859649122805,4511563675.640601
0.0058,172.41379310344828,4473432301.433217
0.0059,169.49152542372883,4473326775.190273
0.006,166.66666666666666,4472978089.101081
0.0061,163.93442622950818,4440992632.723721
0.0062,161.29032258064515,4311314445.628022
0.0063,158.73015873015873,4236216044.0764875
0.0064,156.25,4216505832.7083254
0.0065,153.84615384615384,4192133320.624884
0.0066,151.51515151515153,4184684103.700922
0.0067,149.2537313432836,4183840389.8107967
0.0068,147.05882352941177,4167388189.398092
0.0069,144.92753623188406,4138242500.3176546
0.007,142.85714285714286,4100492672.014458
0.0071,140.8450704225352,3933532602.7278852
0.0072,138.88888888888889,3927619718.227146
0.0073,136.986301369863,3921492432.909805
0.0074,135.13513513513513,3853015031.7686186
0.0075,133.33333333333334,3833862234.3144593
0.0076,131.57894736842104,3826604282.7132697
0.0077,129.87012987012986,3795387018.36586
0.0078,128.2051282051282,3749839576.500286
0.0079,126.58227848101265,3687926601.872002
0.008,125.0,3681008928.490953
0.0081,123.4567901234568,3646958051.364725
0.0082,121.95121951219511,3630745611.6095405
0.0083,120.48192771084337,3573895211.638702
0.0084,119.04761904761905,3563724048.9170237
0.0085,117.6470588235294,3551220001.8130507
0.0086,116.27906976744185,3522654077.1080217
0.0087,114.9425287356322,3445008969.034417
0.0088,113.63636363636363,3424376242.1744437
0.0089,112.35955056179776,3415111317.0521803
0.009,111.11111111111111,3363072837.4383307
0.0091,109.89010989010988,3352010167.7276816
0.0092,108.69565217391305,3337649851.286563
0.0093,107.52688172043011,3296395124.8380213
0.0094,106.38297872340425,3278290201.7129164
0.0095,105.26315789473685,3276959469.608224
0.0096,104.16666666666667,3230389036.78887
0.0097,103.09278350515464,3203633457.302096
0.0098,102.04081632653062,3200633206.569202
0.0099,101.010101010101,3155750614.3255763
0.01,100.0,3153517354.3097115
0.0101,99.00990099009901,3140659712.4855313
0.0102,98.0392156862745,3137425260.449704
0.0103,97.08737864077669,3094167868.647812
